Domain Code,Domain,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5510","Production","156","Sugar cane","t","1576951506.49","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","56","Maize (corn)","t","838259709.51","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","27","Rice","t","668728025.39","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","15","Wheat","t","660268179.23","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","882","Raw milk of cattle","t","588561139.66","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","116","Potatoes","t","333125108.61","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","157","Sugar beet","t","257434683.12","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","463","Other vegetables, fresh n.e.c.","t","244560496.82","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","236","Soya beans","t","241745317.14","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","254","Oil palm fruit","t","240451345.47","E","Estimated value"
