Domain Code,Domain,Area Code,Area,Element Code,Element,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","41","China, mainland","5510","Production","t","196029127.59","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","t","147710435.21","E","Estimated value"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","t","54525756.02","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","t","43625258.79","E","Estimated value"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","t","37285356.87","E","Estimated value"
"QCL","Crops and livestock products","216","Thailand","5510","Production","t","29980867.72","E","Estimated value"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","t","25163677.24","E","Estimated value"
"QCL","Crops and livestock products","171","Philippines","5510","Production","t","15506140.59","E","Estimated value"
"QCL","Crops and livestock products","110","Japan","5510","Production","t","11246032.76","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","t","11220000.03","E","Estimated value"
